sort_order,ADM1_CODE,ADM1_NAME,nd_code,nd_name,DIST_ID,district_name
542,37,Andhra Pradesh,1,Coastal Northern,627,Srikakulam
543,37,Andhra Pradesh,1,Coastal Northern,690,Vizianagaram
544,37,Andhra Pradesh,1,Coastal Northern,689,Visakhapatnam
545,37,Andhra Pradesh,1,Coastal Northern,187,East Godavari
546,37,Andhra Pradesh,1,Coastal Northern,700,West Godavari
547,37,Andhra Pradesh,2,Coastal Southern,366,Krishna
548,37,Andhra Pradesh,2,Coastal Southern,233,Guntur
549,37,Andhra Pradesh,2,Coastal Southern,512,Prakasam
550,37,Andhra Pradesh,2,Coastal Southern,625,Nellore
551,37,Andhra Pradesh,3,Inland Southern,708,Y.S.R.
552,37,Andhra Pradesh,3,Inland Southern,372,Kurnool
553,37,Andhra Pradesh,3,Inland Southern,24,Anantapur
554,37,Andhra Pradesh,3,Inland Southern,134,Chittoor
245,12,Arunachal Pradesh,1,Arunachal Pradesh,641,Tawang
246,12,Arunachal Pradesh,1,Arunachal Pradesh,702,West Kameng
247,12,Arunachal Pradesh,1,Arunachal Pradesh,718,East Kameng
248,12,Arunachal Pradesh,1,Arunachal Pradesh,491,Papum Pare
249,12,Arunachal Pradesh,1,Arunachal Pradesh,721,Upper Subansiri
250,12,Arunachal Pradesh,1,Arunachal Pradesh,723,West Siang
251,12,Arunachal Pradesh,1,Arunachal Pradesh,719,East Siang
252,12,Arunachal Pradesh,1,Arunachal Pradesh,675,Upper Siang
253,12,Arunachal Pradesh,1,Arunachal Pradesh,121,Changlang
254,12,Arunachal Pradesh,1,Arunachal Pradesh,655,Tirap
255,12,Arunachal Pradesh,1,Arunachal Pradesh,390,Lower Subansiri
256,12,Arunachal Pradesh,1,Arunachal Pradesh,374,Kurung Kumey
257,12,Arunachal Pradesh,1,Arunachal Pradesh,172,Dibang Valley
258,12,Arunachal Pradesh,1,Arunachal Pradesh,389,Lower Dibang Valley
259,12,Arunachal Pradesh,1,Arunachal Pradesh,386,Lohit
260,12,Arunachal Pradesh,1,Arunachal Pradesh,27,Anjaw
300,18,Assam,1,Plains Eastern,377,Lakhimpur
301,18,Assam,1,Plains Eastern,167,Dhemaji
302,18,Assam,1,Plains Eastern,654,Tinsukia
303,18,Assam,1,Plains Eastern,173,Dibrugarh
304,18,Assam,1,Plains Eastern,606,Sivasagar
305,18,Assam,1,Plains Eastern,294,Jorhat
306,18,Assam,1,Plains Eastern,225,Golaghat
306,18,Assam,1,Plains Eastern,407,Majuli
306,18,Assam,1,Plains Eastern,122,Charaideo
307,18,Assam,2,Plains Western,351,Kokrajhar
308,18,Assam,2,Plains Western,170,Dhubri
309,18,Assam,2,Plains Western,223,Goalpara
310,18,Assam,2,Plains Western,66,Barpeta
311,18,Assam,2,Plains Western,101,Bongaigaon
312,18,Assam,2,Plains Western,131,Chirang
313,18,Assam,2,Plains Western,306,Kamrup
314,18,Assam,2,Plains Western,307,Kamrup Metropolitan
315,18,Assam,2,Plains Western,450,Nalbari
315,18,Assam,2,Plains Western,619,South Salmara Mancachar
316,18,Assam,2,Plains Western,43,Baksa
317,18,Assam,3,Cachar Plain,321,Karbi Anglong
318,18,Assam,3,Cachar Plain,174,Dima Hasao
319,18,Assam,3,Cachar Plain,110,Cachar
320,18,Assam,3,Cachar Plain,323,Karimganj
321,18,Assam,3,Cachar Plain,237,Hailakandi
321,18,Assam,3,Cachar Plain,703,West Karbi Anglong
322,18,Assam,4,Central Brahamputra plains,418,Morigaon
323,18,Assam,4,Central Brahamputra plains,443,Nagaon
324,18,Assam,4,Central Brahamputra plains,613,Sonitpur
325,18,Assam,4,Central Brahamputra plains,150,Darrang
325,18,Assam,4,Central Brahamputra plains,99,Biswanath
325,18,Assam,4,Central Brahamputra plains,252,Hojai
326,18,Assam,4,Central Brahamputra plains,665,Udalguri
203,10,Bihar,1,Northern,493,Pashchim Champaran
204,10,Bihar,1,Northern,520,Purba Champaran
205,10,Bihar,1,Northern,585,Sheohar
206,10,Bihar,1,Northern,603,Sitamarhi
207,10,Bihar,1,Northern,395,Madhubani
208,10,Bihar,1,Northern,632,Supaul
209,10,Bihar,1,Northern,29,Araria
210,10,Bihar,1,Northern,345,Kishanganj
211,10,Bihar,1,Northern,522,Purnia
212,10,Bihar,1,Northern,330,Katihar
213,10,Bihar,1,Northern,394,Madhepura
